Model,Fold,MAE ($),RMSE ($),MAPE (%),R²
XGBoost,1,61299.96676750811,110320.48594242556,11.210709270794313,0.9194941506738521
XGBoost,2,60856.21443984212,125729.17181577049,11.269787462087203,0.8930071927801428
XGBoost,3,60055.55751033715,112599.53749144822,11.429204080647208,0.9002878652901144
XGBoost,4,59068.52501373787,103775.6757816838,11.241723598422917,0.9179292002987406
XGBoost,5,58107.1186968562,100745.96722993487,11.054002876007772,0.9128516991703467
LightGBM,1,62116.54843428776,111449.08833875133,11.34467825958895,0.9178385406977558
LightGBM,2,62344.613863078965,124559.0581222272,11.528220104075917,0.8949894087079413
LightGBM,3,60322.79567698881,115718.52370359124,11.474245339931711,0.8946873430835327
LightGBM,4,59630.81392243323,105309.42142683385,11.309721233950398,0.9154853536718625
LightGBM,5,58879.16384953766,103392.13424415268,11.18853213199439,0.9082135479374229
RandomForest,1,69910.124884168,133460.6694099973,12.344895276867527,0.8821792721017669
RandomForest,2,67707.32155440965,135902.01204532423,12.346791043508762,0.8749930250216811
RandomForest,3,66801.95187288709,127073.6565788339,12.417953610142334,0.8730052244416653
RandomForest,4,64917.863486781986,119722.40308762655,12.068654515517624,0.8907683796964719
RandomForest,5,64177.73184407764,114070.33265292105,11.994367063628692,0.8882753511151535
